Travel ID,Card Type,Weekday,Date,Departure City,Departure,Check-out,Arrival City,Destination,Type,Product
2,Student,4,2021-09-01,Utrecht,Utrecht CS Jaarbeurszijde (Perron C3),8:53,Utrecht,Utrecht Botanische Tuinen,Bus,Student Week Vrij (2nd class)
3,Student,4,2021-09-01,Utrecht,Utrecht Vaartsche Rijn,17:42,Voorburg,Voorburg,Train,Student Week Vrij (2nd class)
1,Student,4,2021-09-01,Voorburg,Voorburg,8:31,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2nd class)
7,Student,5,2021-09-02,Utrecht,Utrecht Centraal,14:43,Voorburg,Voorburg,Train,Student Week Vrij (2nd class)
5,Student,5,2021-09-02,Utrecht,Utrecht CS Jaarbeurszijde (Perron C3),8:54,Utrecht,Utrecht Botanische Tuinen,Bus,Student Week Vrij (2nd class)
6,Student,5,2021-09-02,Utrecht,Utrecht UMC/Leuvenlaan,13:29,Utrecht,Utrecht CS Centrumzijde (Perron A1),Bus,Student Week Vrij (2nd class)
4,Student,5,2021-09-02,Voorburg,Voorburg,8:34,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2nd class)
10,Student,7,2021-09-04,Voorburg,Voorburg,9:31,Amsterdam,Centraal Station,Train,Student Week Korting (2nd class)
14,Student,3,2021-09-07,Utrecht,Utrecht Centraal,21:12,Voorburg,Voorburg,Train,Student Week Vrij (2nd class)
12,Student,3,2021-09-07,Utrecht,Utrecht Janskerkhof,12:56,Utrecht,Utrecht Botanische Tuinen,Bus,Student Week Vrij (2nd class)
13,Student,3,2021-09-07,Utrecht,Utrecht Rijnsweerd-Noord,20:16,Utrecht,Utrecht CS Centrumzijde (Perron A1),Bus,Student Week Vrij (2nd class)
11,Student,3,2021-09-07,Voorburg,Voorburg,8:18,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2nd class)
16,Student,5,2021-09-09,Den Haag,Bierkade,17:28,Rijswijk,Herenstraat,Tram,Student Week Vrij (2nd class)
17,Student,5,2021-09-09,Rijswijk,Herenstraat,17:37,Voorburg,Laan van Heldenburg,Bus,Student Week Vrij (2nd class)
15,Student,5,2021-09-09,Voorburg,Voorburg,15:50,Den Haag,Den Haag Centraal,Train,Student Week Vrij (2nd class)
